ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,
101251,0,0,0.057170966,1.89E-15,0,
100562,0,0,0.013949801,0,0,
100351,0,0,0,0,0,
101249,0,0,0.01971425,0,0,
100806,0,0,0.067684932,0,0,
101710,0,0,0,0,0,
100348,0,0,0.002354007,0,0,
101644,0,0,0.475423889,0,0,
101382,0,0,0,0,0,
101668,0,0,0.002578636,0,0,
100874,5.06E-07,0,0.126642358,0.437344492,0.099980548,
101421,0,0,0.26020382,1.11E-16,0,
101414,0,0,0,0,0,
101114,0,0,0.532979397,0,0,
101369,0,0,0,0,0,
101475,3.27E-10,0,0.364164014,0.003335462,0.000574997,
101502,3.92E-05,2.66E-15,0.43434126,0.35668886,0.159495379,
100163,0,0,0,0,0,
100799,2.52E-09,0,0.200001585,0.222126159,0.074054454,
100092,0,0,0.19289844,0,0,
100656,0,0,0.721469493,0.00026191,7.83E-07,
101608,0,0,0.091608882,7.03E-11,4.44E-16,
100984,0,0,0,0,0,
100396,0,0,0,0,0,
100853,0,0,0.463544475,0,0,
100384,0,0,0.001400214,1.83E-05,1.28E-08,
101256,0,0,0.340780815,0,0,
100224,0,0,0.223721699,1.75E-06,6.09E-10,
100191,0,0,0.01044587,0,0,
100631,1.40E-09,0,0.034736025,0.004545254,0.000348293,
100018,0,0,0,0,0,
101047,0,0,0.278795207,0,0,
100714,0,0,9.97E-14,0,0,
100015,0,0,0.18611274,0,0,
100740,0,0,0.100489858,0,0,
101358,0,0,0.48026609,1.60E-06,9.08E-11,
101562,0,0,0.060438208,0,0,
100515,0,0,0,0,0,
101099,0,0,0,0,0,
100402,0,0,0.583963691,0,0,
100083,0,0,0.67672812,1.58E-13,0,
100581,0,0,0,0,0,
100409,0,3.91E-13,0.360051118,0.022786974,0.003689871,
101435,0,0,1.56E-11,0,0,
100884,0,0,0,0,0,
101505,0,0,0.021146411,0,0,
100911,0,0,7.16E-05,0,0,
100393,0,0,9.37E-07,0,0,
101145,0,4.47E-09,0.031216737,3.38E-05,6.39E-07,
101319,0,0,1.93E-07,1.85E-06,4.04E-10,
100551,0,0,0,0,0,
100787,0,0,0,0,0,
100501,0,0,0.001261858,0,0,
101549,0,0,0.004504719,0,0,
100721,0,0,0.097340981,0,0,
101433,0,0,0.082438279,0,0,
100930,0,0,0.859960612,9.66E-15,0,
100491,0,0,0.444274347,0,0,
100086,1.22E-15,3.53E-08,0.336171911,0.001151783,5.15E-05,
101199,0,0,0.431936475,7.77E-16,0,
101733,0,0,0,0,0,
100240,0,0,2.54E-06,0,0,
100149,7.70E-09,1.11E-16,0.669164115,0.068453061,0.044102088,
100537,0,0,0.018022764,0,0,
101481,0,0,1.86E-07,0,0,
100156,0,0,4.74E-08,0,0,
101088,0.0019209,0,0.753452221,0.000430887,3.51E-05,
100894,0,0,0.299589666,0,0,
101192,0,0,0.649136414,1.43E-05,5.47E-09,
101162,0,0,0.316626986,0,0,
101449,0,0,0.006879865,0,0,
101428,0,0,0.400092252,0,0,
100008,6.88E-10,0,0.422893981,0.000596897,7.25E-05,
101633,0,0,0.173162016,1.25E-05,1.73E-09,
100099,0,0,0,0,0,
101377,0,0,0.777475837,1.54E-07,4.44E-11,
100059,3.33E-16,0,4.47E-09,0,0,
101118,0,0,0,0,0,
100785,0,0,0,0,0,
100956,0,0,0.061132014,2.11E-15,0,
101674,0,0,0.175840513,1.11E-16,0,
100039,0,0,0.00389063,0,0,
100132,0,0,0,0,0,
100298,0,0,0.437260137,2.29E-12,0,
101040,0,0,0,0,0,
100554,0,0,0.057897921,0,0,
100407,0,0,0.3057307,0,0,
101087,0,0,0.203926955,0,0,
101140,0,0,2.68E-06,0,0,
101622,0,0,0,0,0,
100614,0,0,0.661347979,0,0,
100899,0,0,1.11E-16,0,0,
100518,0,0,0.138592789,2.27E-05,1.26E-06,
100227,4.44E-16,0,0.505402082,0.022735122,0.000826208,
101362,0,0,0.074874944,0,0,
100479,0,0,0.425568792,0,0,
101424,0,0,0.304085699,0.005585009,0.000171673,
100153,0,0,0.482002444,2.82E-06,2.60E-10,
100657,0,0,0,0,0,
101046,0,0,0.033153483,0,0,
101402,0,0,0.001238415,0,0,
101271,0,0,0,0,0,
101573,0,0,0,0,0,
101525,0,0,0,0,0,
101361,0,0,0,0,0,
