ID,Gamma,Gaussian,RTLLR,ROT1,ROT2,GMM
100341,0,0,0,0,0,5.44E-09
101691,0.001440897,4.44E-16,0.002571979,0.003908043,0.002689136,0.098526031
100687,0,0,0.107562694,3.22E-15,0,0.015314671
100696,0,0,0.330499002,0,0,0.863731365
100797,0,0,2.74E-07,0,0,0.001169828
101490,0,0,0.003188675,0,0,0.594955402
100333,0,0,0,0,0,0.021631418
101431,0,0,0,0,0,0.032773523
100944,0,0,4.24E-05,0,0,0.877354622
100648,0,0,0,0,0,7.42E-07
100126,0,0,0,0,0,0.076800135
100160,0,0,0,0,0,0.260437683
100619,0.000181396,1.78E-15,0.219911325,0.006136244,0.002788881,0.194730269
101352,0,0,0.028305752,0,0,0.319208846
100804,0,0,0,0,0,1.83E-05
